ville1,pays1,latitude1,longitude1,ville2,pays2,latitude2,longitude2,distance
Lagos, Nigéria,6.4550575,3.3941795,Oslo, Norvège,59.9133301,10.7389701,5976.639215708064
Montréal, Canada,45.5031824,-73.5698065,Berlin, Allemagne,52.5170365,13.3888599,5997.729421383381
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Lagos, Nigéria,6.4550575,3.3941795,6025.934673177137
Singapour, Singapour,1.357107,103.8194992,Melbourne, Australie,-37.8142454,144.9631732,6063.796325843634
Berlin, Allemagne,52.5170365,13.3888599,Mumbai, Inde,18.9733536,72.8281049,6292.750759918916
Melbourne, Australie,-37.8142454,144.9631732,Manille, Philippines,14.5906346,120.9799964,6342.415332973569
Tokyo, Japon,35.6821936,139.762221,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,6513.7736475002275
Mexico, Mexique,19.4326296,-99.1331785,Santiago, Chili,-33.4377756,-70.6504502,6609.957949006932
Mumbai, Inde,18.9733536,72.8281049,Oslo, Norvège,59.9133301,10.7389701,6647.866316297002
Lagos, Nigéria,6.4550575,3.3941795,Reykjavik, Islande,64.145981,-21.9422367,6724.4933686783
Tokyo, Japon,35.6821936,139.762221,Mumbai, Inde,18.9733536,72.8281049,6740.7021583947935
Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,Reykjavik, Islande,64.145981,-21.9422367,6931.552310831608
Johannesburg, Afrique du Sud,-26.205,28.049722,Mumbai, Inde,18.9733536,72.8281049,6971.516157424165
Pékin, Chine,40.190632,116.412144,Oslo, Norvège,59.9133301,10.7389701,6998.548231995571
Paris, France,48.8534951,2.3483915,Mumbai, Inde,18.9733536,72.8281049,7014.173457947334
Johannesburg, Afrique du Sud,-26.205,28.049722,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,7123.109765784731
Johannesburg, Afrique du Sud,-26.205,28.049722,Athènes, Grèce,37.9755648,23.7348324,7150.73343639672
Vancouver, Canada,49.2608724,-123.113952,Oslo, Norvège,59.9133301,10.7389701,7183.139447449902
Londres, Angleterre,51.5073219,-0.1276474,Mumbai, Inde,18.9733536,72.8281049,7196.845623870406
Berlin, Allemagne,52.5170365,13.3888599,Pékin, Chine,40.190632,116.412144,7334.654271904081
Mexico, Mexique,19.4326296,-99.1331785,Buenos Aires, Argentine,-34.6037181,-58.38153,7392.1858225490605
Hong Kong, Chine,22.2793278,114.1628131,Melbourne, Australie,-37.8142454,144.9631732,7417.1655927744605
Mexico, Mexique,19.4326296,-99.1331785,Reykjavik, Islande,64.145981,-21.9422367,7451.17306565338
Tokyo, Japon,35.6821936,139.762221,Vancouver, Canada,49.2608724,-123.113952,7550.220589311879
Londres, Angleterre,51.5073219,-0.1276474,Vancouver, Canada,49.2608724,-123.113952,7579.951621092776
Pékin, Chine,40.190632,116.412144,Athènes, Grèce,37.9755648,23.7348324,7599.99328505515
Montréal, Canada,45.5031824,-73.5698065,Athènes, Grèce,37.9755648,23.7348324,7602.06067826096
Mumbai, Inde,18.9733536,72.8281049,Lagos, Nigéria,6.4550575,3.3941795,7615.847502220938
Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,Séoul, Corée du Sud,37.5666791,126.9782914,7627.848679277174
Mexico, Mexique,19.4326296,-99.1331785,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,7680.597999681884
Oslo, Norvège,59.9133301,10.7389701,Séoul, Corée du Sud,37.5666791,126.9782914,7716.81043865189
Montréal, Canada,45.5031824,-73.5698065,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,7846.660646444793
Pékin, Chine,40.190632,116.412144,Reykjavik, Islande,64.145981,-21.9422367,7852.744489894255
Lagos, Nigéria,6.4550575,3.3941795,Buenos Aires, Argentine,-34.6037181,-58.38153,7912.467181642679
Paris, France,48.8534951,2.3483915,Vancouver, Canada,49.2608724,-123.113952,7922.697203089974
Berlin, Allemagne,52.5170365,13.3888599,Vancouver, Canada,49.2608724,-123.113952,7978.206272411791
Johannesburg, Afrique du Sud,-26.205,28.049722,Buenos Aires, Argentine,-34.6037181,-58.38153,8088.085596917544
Londres, Angleterre,51.5073219,-0.1276474,Pékin, Chine,40.190632,116.412144,8115.390113265659
Berlin, Allemagne,52.5170365,13.3888599,Séoul, Corée du Sud,37.5666791,126.9782914,8127.8252524266045
Vancouver, Canada,49.2608724,-123.113952,Séoul, Corée du Sud,37.5666791,126.9782914,8160.902997715292
Tokyo, Japon,35.6821936,139.762221,Melbourne, Australie,-37.8142454,144.9631732,8189.978852431892
Paris, France,48.8534951,2.3483915,Pékin, Chine,40.190632,116.412144,8192.833875999862
Montréal, Canada,45.5031824,-73.5698065,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,8203.728615705368
Mumbai, Inde,18.9733536,72.8281049,Reykjavik, Islande,64.145981,-21.9422367,8343.104221724041
Reykjavik, Islande,64.145981,-21.9422367,Séoul, Corée du Sud,37.5666791,126.9782914,8380.459660397695
Tokyo, Japon,35.6821936,139.762221,Oslo, Norvège,59.9133301,10.7389701,8408.795520031686
Pékin, Chine,40.190632,116.412144,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,8466.540921614336
Montréal, Canada,45.5031824,-73.5698065,Lagos, Nigéria,6.4550575,3.3941795,8481.281378061823
Pékin, Chine,40.190632,116.412144,Vancouver, Canada,49.2608724,-123.113952,8488.804328744478
Athènes, Grèce,37.9755648,23.7348324,Séoul, Corée du Sud,37.5666791,126.9782914,8515.78481931021
