ville1,pays1,latitude1,longitude1,ville2,pays2,latitude2,longitude2,distance
Mumbai, Inde,18.9733536,72.8281049,Santiago, Chili,-33.4377756,-70.6504502,16059.181882300194
Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,Lagos, Nigéria,6.4550575,3.3941795,16305.252972656386
Singapour, Singapour,1.357107,103.8194992,Santiago, Chili,-33.4377756,-70.6504502,16401.57117180406
Johannesburg, Afrique du Sud,-26.205,28.049722,Vancouver, Canada,49.2608724,-123.113952,16450.469775727925
Singapour, Singapour,1.357107,103.8194992,Mexico, Mexique,19.4326296,-99.1331785,16606.339987645108
Johannesburg, Afrique du Sud,-26.205,28.049722,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,16674.582661097396
Montréal, Canada,45.5031824,-73.5698065,Melbourne, Australie,-37.8142454,144.9631732,16735.96803112377
Paris, France,48.8534951,2.3483915,Melbourne, Australie,-37.8142454,144.9631732,16791.648316412662
Londres, Angleterre,51.5073219,-0.1276474,Melbourne, Australie,-37.8142454,144.9631732,16903.693429472496
Melbourne, Australie,-37.8142454,144.9631732,Reykjavik, Islande,64.145981,-21.9422367,16960.98180333387
Tokyo, Japon,35.6821936,139.762221,Santiago, Chili,-33.4377756,-70.6504502,17230.060225992787
Pékin, Chine,40.190632,116.412144,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,17304.1547171069
Santiago, Chili,-33.4377756,-70.6504502,Manille, Philippines,14.5906346,120.9799964,17613.733792803312
Hong Kong, Chine,22.2793278,114.1628131,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,17693.330929988402
Buenos Aires, Argentine,-34.6037181,-58.38153,Manille, Philippines,14.5906346,120.9799964,17788.81295395143
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Manille, Philippines,14.5906346,120.9799964,18112.727386755036
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Séoul, Corée du Sud,37.5666791,126.9782914,18135.225880132442
Santiago, Chili,-33.4377756,-70.6504502,Séoul, Corée du Sud,37.5666791,126.9782914,18357.44232244769
Tokyo, Japon,35.6821936,139.762221,Buenos Aires, Argentine,-34.6037181,-58.38153,18363.34563307167
Hong Kong, Chine,22.2793278,114.1628131,Buenos Aires, Argentine,-34.6037181,-58.38153,18464.155462051775
Tokyo, Japon,35.6821936,139.762221,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,18566.28706616237
Hong Kong, Chine,22.2793278,114.1628131,Santiago, Chili,-33.4377756,-70.6504502,18687.660291553675
Pékin, Chine,40.190632,116.412144,Santiago, Chili,-33.4377756,-70.6504502,19036.46334556112
Johannesburg, Afrique du Sud,-26.205,28.049722,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,19198.311270949394
Pékin, Chine,40.190632,116.412144,Buenos Aires, Argentine,-34.6037181,-58.38153,19242.465659243295
Buenos Aires, Argentine,-34.6037181,-58.38153,Séoul, Corée du Sud,37.5666791,126.9782914,19431.706344139187
